tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2018-0410,Monte Carlo Masters,Clay,64.0,M,20180416.0,300.0,104745.0,1.0,,Rafael Nadal,L,185.0,ESP,31.868583162199997,1.0,8770.0,105453.0,,,Kei Nishikori,R,178.0,JPN,28.295687885,36.0,1280.0,6-3 6-2,3.0,F,93.0,1.0,3.0,54.0,38.0,28.0,9.0,9.0,1.0,2.0,1.0,2.0,54.0,28.0,15.0,13.0,8.0,4.0,8.0
2018-0410,Monte Carlo Masters,Clay,64.0,M,20180416.0,299.0,104745.0,1.0,,Rafael Nadal,L,185.0,ESP,31.868583162199997,1.0,8770.0,105777.0,4.0,,Grigor Dimitrov,R,188.0,BUL,26.9185489391,5.0,4635.0,6-4 6-1,3.0,SF,92.0,0.0,1.0,53.0,35.0,22.0,13.0,9.0,1.0,2.0,2.0,5.0,52.0,33.0,20.0,5.0,8.0,4.0,8.0
2018-0410,Monte Carlo Masters,Clay,64.0,M,20180416.0,298.0,105453.0,,,Kei Nishikori,R,178.0,JPN,28.295687885,36.0,1280.0,100644.0,3.0,,Alexander Zverev,R,198.0,GER,20.9883641342,4.0,4925.0,3-6 6-3 6-4,3.0,SF,133.0,1.0,4.0,89.0,53.0,32.0,24.0,14.0,3.0,6.0,6.0,7.0,87.0,43.0,34.0,16.0,14.0,3.0,7.0
2018-0410,Monte Carlo Masters,Clay,64.0,M,20180416.0,297.0,104745.0,1.0,,Rafael Nadal,L,185.0,ESP,31.868583162199997,1.0,8770.0,106233.0,5.0,,Dominic Thiem,R,185.0,AUT,24.6160164271,7.0,3665.0,6-0 6-2,3.0,QF,68.0,0.0,1.0,35.0,25.0,21.0,8.0,7.0,0.0,0.0,4.0,5.0,51.0,21.0,11.0,11.0,7.0,7.0,12.0
2018-0410,Monte Carlo Masters,Clay,64.0,M,20180416.0,296.0,105777.0,4.0,,Grigor Dimitrov,R,188.0,BUL,26.9185489391,5.0,4635.0,105676.0,6.0,,David Goffin,R,163.0,BEL,27.356605065,10.0,3110.0,6-4 7-6(5),3.0,QF,106.0,6.0,3.0,74.0,48.0,36.0,10.0,11.0,3.0,6.0,1.0,1.0,80.0,57.0,35.0,11.0,11.0,9.0,13.0
2018-0410,Monte Carlo Masters,Clay,64.0,M,20180416.0,295.0,100644.0,3.0,,Alexander Zverev,R,198.0,GER,20.9883641342,4.0,4925.0,104755.0,,,Richard Gasquet,R,185.0,FRA,31.8275154004,34.0,1340.0,4-6 6-2 7-5,3.0,QF,159.0,5.0,4.0,100.0,55.0,33.0,20.0,15.0,10.0,17.0,1.0,2.0,98.0,54.0,28.0,17.0,15.0,3.0,12.0
2018-0410,Monte Carlo Masters,Clay,64.0,M,20180416.0,294.0,105453.0,,,Kei Nishikori,R,178.0,JPN,28.295687885,36.0,1280.0,105227.0,2.0,,Marin Cilic,R,198.0,CRO,29.5468856947,3.0,4985.0,6-4 6-7(1) 6-3,3.0,QF,175.0,5.0,5.0,119.0,66.0,48.0,26.0,16.0,4.0,6.0,12.0,4.0,117.0,63.0,45.0,27.0,15.0,10.0,14.0
2018-0410,Monte Carlo Masters,Clay,64.0,M,20180416.0,293.0,104745.0,1.0,,Rafael Nadal,L,185.0,ESP,31.868583162199997,1.0,8770.0,111575.0,,,Karen Khachanov,R,,RUS,21.9028062971,38.0,1255.0,6-3 6-2,3.0,R16,79.0,3.0,1.0,45.0,28.0,22.0,11.0,9.0,0.0,1.0,1.0,2.0,46.0,20.0,10.0,13.0,8.0,3.0,7.0
2018-0410,Monte Carlo Masters,Clay,64.0,M,20180416.0,292.0,106233.0,5.0,,Dominic Thiem,R,185.0,AUT,24.6160164271,7.0,3665.0,104925.0,9.0,,Novak Djokovic,R,188.0,SRB,30.9021218344,13.0,2310.0,6-7(2) 6-2 6-3,3.0,R16,149.0,9.0,5.0,95.0,51.0,38.0,23.0,14.0,2.0,3.0,3.0,2.0,114.0,72.0,46.0,20.0,15.0,5.0,10.0
2018-0410,Monte Carlo Masters,Clay,64.0,M,20180416.0,291.0,105777.0,4.0,,Grigor Dimitrov,R,188.0,BUL,26.9185489391,5.0,4635.0,104259.0,,,Philipp Kohlschreiber,R,178.0,GER,34.4996577687,40.0,1230.0,4-6 6-3 6-4,3.0,R16,142.0,5.0,4.0,89.0,59.0,40.0,15.0,15.0,2.0,5.0,3.0,1.0,99.0,54.0,33.0,26.0,14.0,6.0,10.0
